Main_ID,RAdeg,DEdeg,PosErr,Pos_ref,Spectype,Spectype_ref,Class,Compact,Mx,Mx_err,Mx_ref,Mo,Mo_err,Mo_ref,Period,Period_err,Period_ref,Superorbital Period,Superorbital Period_err,Superorbital Period_ref,Eccentricity,Eccentricity_err,Eccentricity_ref,Spin_period,Spin_period_err,Spin_period_ref,RV,RV_err,RV_ref,Distance,Distance_err_lo,Distance_err_up,IGR_var,Swift_var,XMM_var,Chandra_var,Var,best_ID,AGILE_ID,AGILE_RA,AGILE_Dec,AGILE_err,AGILE_ref,HEAO_ID,HEAO_RA,HEAO_Dec,HEAO_err,HEAO_ref,UHURU4_ID,UHURU4_RA,UHURU4_Dec,UHURU4_err,UHURU4_ref,ARIEL3_ID,ARIEL3_RA,ARIEL3_Dec,ARIEL3_err,ARIEL3_ref,IGR_ID,IGR_RA,IGR_Dec,IGR_err,IGR_ref,2E_ID,2E_RA,2E_Dec,2E_err,2E_ref,ROSAT_ID,ROSAT_RA,ROSAT_Dec,ROSAT_err,ROSAT_ref,ROSATF_ID,ROSATF_RA,ROSATF_Dec,ROSATF_err,ROSATF_ref,FERMI_ID,FERMI_RA,FERMI_Dec,FERMI_err,FERMI_ref,SAX_ID,SAX_RA,SAX_Dec,SAX_err,SAX_ref,Swift_ID,Swift_RA,Swift_Dec,Swift_err,Swift_ref,XMM_ID,XMM_RA,XMM_Dec,XMM_err,XMM_ref,Chandra_ID,Chandra_RA,Chandra_Dec,Chandra_err,Chandra_ref,2MASS_ID,2MASS_RA,2MASS_Dec,2MASS_err,2MASS_ref,Gaia_ID,Gaia_RA,Gaia_Dec,Gaia_err,Gaia_ref
X Per,58.846150622344,31.0458360918575,8.20933685948451E-09,,B1Ve,2019A&A...622A.173Z,Be,NS,,,,15.5,,1997MNRAS.286..549L,250.3,0.6,2001ApJ...546..455D,,,,0.111,0.018,2001ApJ...546..455D,837.6712,0.0003,2001ApJ...546..455D,1,0.9,2007ApJ...660.1398G,595,-13,17,,,1,,Y,Gaia DR3 168450545792009600,,,,,,1H0352+308,58.843,31.0456,0,,,,,,,3A 0352+309,58.8231,31.0657,0.0266317162872502,,X Per,58.846,31.046,0.00483333319425583,,,,,,,1WGA J0355.3+3102,58.8458,31.0497,0.00361111111111111,,,,,,,,,,,,X Per,58.859,31.072,0.0283333341280619,,,,,,,4XMM J035522.9+310244,58.845756,31.045833,0.000177978055555556,,2CXO J035523.1+310244X,58.8463570714606,31.0455702086393,0.000393656310123235,,2MASS J03552309+3102449,58.846228,31.045828,1.66666662941376E-05,,1.6845054579201E+017,58.846150622344,31.0458360918575,8.20933685948451E-09,
XTE J0421+560,64.9255612347673,55.9993606790434,3.50119804756509E-09,,B0/2I[e],2002A&A...392..991H,sgB[e],,,,,,,,19.41,0.02,2006ASPC..355..305B,,,,,,,,,,-51,2,2016MNRAS.456.1424A,4094,-206,276,,4.91361284255981,1,,Y,Gaia DR3 276644757710014976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J041942.0+555957,64.92529,55.99927,0.000972222222222222,,4XMM J041942.1+555957,64.92559,55.999346,6.33416666666667E-05,,,,,,,2MASS J04194212+5559577,64.925528,55.999374,1.94444445272287E-05,,2.76644757710015E+017,64.9255612347673,55.9993606790434,3.50119804756509E-09,
RX J0440.9+4431,70.2472073930042,44.5303441864785,3.30721855991416E-09,,B0.2Ve,2005A&A...440.1079R,Be,NS,,,,17.5,,1996MNRAS.280L..31P,150,,2013A&A...553A.103F,,,,,,,202.5,0.5,1999MNRAS.306..100R,,,,2444,-77,60,Y,7.41481494903564,1,,Y,Gaia DR3 252878401557369088,,,,,,,,,,,,,,,,,,,,,RX J0440.9+4431,70.247,44.53,0.00916666686534882,,,,,,,1WGA J0440.9+4431,70.2496,44.5314,0.00361111111111111,,1RXS  J044100.3+443137,70.25125,44.52708,0.00444444444444444,,,,,,,,,,,,2SXPS J044059.2+443149,70.24676,44.53034,0.000972222222222222,,4XMM J044059.1+443149,70.246651,44.530435,0.000527809722222222,,,,,,,2MASS J04405932+4431492,70.24719,44.530342,1.66666662941376E-05,,2.52878401557369E+017,70.2472073930042,44.5303441864785,3.30721855991416E-09,
EXO 051910+3737.7,80.6468048118424,37.6759929364201,7.05496511525578E-09,,B0III-IVe,1990A&A...231..354P,Be,,,,,17.5,,1996MNRAS.280L..31P,,,,,,,,,,,,,-20.5,4.4,2006AstL...32..759G,1317,-52,55,,,,,,Gaia DR3 184497471323752064,,,,,,1H0521+373,81.1503,37.3749,0.272336376171875,,4U 0515+38,80.4758333333333,38.5002777777778,0.212601457938461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J05223522+3740336,80.646768,37.676014,1.94444445272287E-05,,1.84497471323752E+017,80.6468048118424,37.6759929364201,7.05496511525578E-09,
1A 0535+262,84.7273924582143,26.3157752444017,5.62519455949465E-09,,O9.5III-Ve,1998PASP..110.1310W,Be,NS,,,,20,,2001A&A...377..161O,110.3,0.3,2001A&A...377..161O,,,,0.47,0.02,1996ApJ...459..288F,103.4,0.02,2005ATel..557....1S,-30,4,1984PASP...96..312H,1793,-71,76,Y,25.1278171539307,1,1,Y,Gaia DR3 3441207615229815040,,,,,,1H0536+263,84.8377,26.3469,0.0697382045915904,,,,,,,3A 0535+262,84.7275,26.3175,0,,1A 0535+262,84.727,26.316,0.00300000011920929,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J053854.5+261856,84.72741,26.31559,0.000555555555555556,,4XMM J053854.5+261857,84.72737,26.315868,6.98166666666667E-05,,2CXO J053854.5+261856,84.7274172096754,26.3157248695762,0.000197198055885467,,2MASS J05385458+2618568,84.727427,26.315798,1.94444445272287E-05,,4.41207615229815E+017,84.7273924582143,26.3157752444017,5.62519455949465E-09,
AAO+28  342,88.9793400429246,28.7851074561774,7.03696627169848E-09,,B5ne,1950ApJ...111..495P,Be,,,,,,,,,,,,,,,,,,,,,,,1600,-73,95,,,,,,Gaia DR3 3431561565357225088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J05555504+2847064,88.979362,28.785112,1.66666662941376E-05,,4.31561565357225E+017,88.9793400429246,28.7851074561774,7.03696627169848E-09,
IGR J06074+2205,91.8608863419786,22.0965972589203,4.41594256295098E-09,,B0.5Ve,2010A&A...522A.107R,Be,NS,,,,14.6,,1996MNRAS.280L..31P,,,,,,,,,,373.226,0.013,2018A&A...613A..52R,18.9,4.1,2017AJ....153..174C,5989,-603,559,,1.10588240623474,1,0,Y,Gaia DR3 3423526544838563328,,,,,,,,,,,,,,,,,,,,,IGR J06074+2205,91.85,22.0833333333333,0.0333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J060726.5+220549,91.86063,22.09698,0.000972222222222222,,4XMM J060726.5+220547,91.860792,22.096484,0.000117258055555556,,2CXO J060726.6+220547,91.8609269967903,22.0965898754504,0.000197620844261293,,,,,,,4.23526544838563E+017,91.8608863419786,22.0965972589203,4.41594256295098E-09,
HD 259440,98.2469024160878,5.80032052835337,4.86493524577883E-09,,B0pe,1982IAUS...98..261J,"$\gamma$\,Be",NS?,1.4,,2010ApJ...724..306A,15.7,2.5,2010ApJ...724..306A,317.3,0.7,2021ApJ...923..241A,,,,0.62,0.16,2018PASJ...70...61M,,,,36.9,0.8,2018PASJ...70...61M,1772,-86,93,,2.69374990463257,0,,,Gaia DR3 3131822364779745536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4FGL J0632.8+0550,98.2139,5.8453,0.061796,,,,,,,2SXPS J063259.2+054801,98.24684,5.80042,0.00033333334657881,,4XMM J063259.2+054801,98.246902,5.80036,7.99902777777778E-05,,,,,,,2MASS J06325925+0548012,98.246913,5.800357,1.66666662941376E-05,,1.31822364779746E+017,98.2469024160878,5.80032052835337,4.86493524577883E-09,
SAX J0635.2+0533,98.8261638107314,5.55174484414426,3.25506035652426E-09,,B2V-B1IIIe,1999ApJ...523..197K,Be,NS,,,,9.6,,1996MNRAS.280L..31P,11.2,0.5,2000ApJ...542L..41K,,,,0.29,0.09,2000ApJ...542L..41K,0.034,,2000ApJ...528L..25C,,,,6290,-492,655,,3.43931651115417,0,,,Gaia DR3 3131755947406031104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J063518.2+053307,98.82602,5.55203,0.000972222222222222,,4XMM J063518.2+053306,98.826196,5.551779,0.000193453333333333,,,,,,,2MASS J06351827+0533063,98.826156,5.55176,2.22222217255168E-05,,1.31755947406031E+017,98.8261638107314,5.55174484414426,3.25506035652426E-09,
MAXI J0655-013,103.801809568584,-1.48153717626541,4.8236817949348E-09,,O9.5-B0 V,2022ATel15612....1R,Be,NS,,,,,,,,,,,,,,,,1129.1,0.3,2022ATel15495....1S,,,,3618,-214,282,,1,,,,Gaia DR3 3112116539430781824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J065512.4-012855,103.80174,-1.48199,0.00122222224871318,,,,,,,,,,,,2MASS J06551243-0128535,103.801802,-1.481541,1.66666662941376E-05,,1.12116539430782E+017,103.801809568584,-1.48153717626541,4.8236817949348E-09,
3A 0656-072,104.572029706681,-7.20977338539521,3.20263155218628E-09,,O9.7Ve,2003ATel..202....1P,Be,NS,,,,15.6,,2005A&A...436.1049M,101.2,,2015A&ARv..23....2W,,,,,,,160.4,0.4,2006A&A...451..267M,,,,218,-2,2,Y,1.57142865657806,,0,Y,Gaia DR3 3052677318793446016,,,,,,,,,,,,,,,,3A 0656-072,104.6063,-7.2688,0,,3A 0656-072,104.57,-7.21,0.0123333334922791,,2E 1752,103.957083333333,-7.14611111111111,0.01,,1WGA J0658.2-0712,104.5617,-7.212,0.00361111111111111,,1RXS  J065817.0-071221,104.57083,-7.20597,0.00472222222222222,,,,,,,,,,,,2SXPS J065816.9-071235,104.57055,-7.20978,0.000972222222222222,,,,,,,2CXO J065817.2-071235,104.572041685426,-7.20980939434854,0.000197534144903892,,2MASS J06581729-0712351,104.572047,-7.209765,1.66666662941376E-05,,5.2677318793446E+016,104.572029706681,-7.20977338539521,3.20263155218628E-09,
MAXI J0709-159,107.404071132024,-16.0963277931541,4.34390890101592E-09,,B1.5 I(b),1988mcts.book.....H,SFXT,,,,,,,,,,,,,,,,,,,,,,,2955,-174,244,,,,,,Gaia DR3 2935943990338336000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J07093697-1605467,107.404074,-16.096327,1.66666662941376E-05,,2.93594399033834E+018,107.404071132024,-16.0963277931541,4.34390890101592E-09,
3A 0726-260,112.223240753548,-26.1080190428099,2.51384555465645E-09,,O5Ve,2016ApJS..224....4M,Be,NS,,,,38.1,,2005A&A...436.1049M,34.548,0.01,2016ATel.9823....1C,,,,,,,103.144,0.001,2020RAA....20..155R,,,,7869,-1082,1199,,15.6904754638672,,1,Y,Gaia DR3 5613494119551805184,,,,,,1H0726-259,112.0843,-26.0935,0.168433755079358,,,,,,,3A 0726-260,112.224,-26.1741,0.0636619781853955,,3A 0726-260,112.209,-26.099,0.0731666644414266,,,,,,,,,,,,,,,,,,,,,,3A 0726-260,112.21,-26.1,0.0383333325386047,,2SXPS J072853.5-260629,112.22301,-26.10807,0.000472222235467699,,,,,,,2CXO J072853.5-260629,112.223284974562,-26.10806469565,0.000197205448613277,,2MASS J07285357-2606289,112.223237,-26.10803,1.66666662941376E-05,,5.61349411955181E+018,112.223240753548,-26.1080190428099,2.51384555465645E-09,
SGR 0755-2933,118.927021813678,-29.5648583556619,2.42096863480078E-09,,B0Ve,2023Natur.614...45R,Be,NS,1.4,,2023Natur.614...45R,18.5,1,2023Natur.614...45R,59.69,0.15,2023Natur.614...45R,260,,2021A&A...647A.165D,0.06,0.06,2023Natur.614...45R,307.8,0.04,2021A&A...647A.165D,2.16,0.15,2023Natur.614...45R,3356,-154,159,,21.2727279663086,,,Y,Gaia DR3 5597252305589385984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J075542.5-293353,118.9272,-29.5649,0.000611111124356588,,,,,,,2SXPS J075542.5-293353,118.9271642,-29.5648607,0.000555555555555556,2021A&A...647A.165D,2MASS J07554248-2933535,118.927032,-29.564863,1.66666662941376E-05,,5.59725230558939E+018,118.927021813678,-29.5648583556619,2.42096863480078E-09,
RX J0812.4-3114,123.118148769228,-31.247806699969,2.07218199243976E-09,,B0.2IVe,2001A&A...367..266R,Be,NS,,,,17.5,,1996MNRAS.280L..31P,80.39,3,2019MNRAS.488.4427Z,,,,,,,31.908,0.009,2019MNRAS.488.4427Z,,,,6659,-422,528,,,1,0,Y,Gaia DR3 5548261400354128768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RX J0812.4-3114,123.14,-31.245,0.0349999984105428,,,,,,,4XMM J081228.3-311452,123.118121,-31.247798,8.62283333333333E-05,,2CXO J081228.3-311452,123.117952050355,-31.2478740952755,0.000203861052112721,,2MASS J08122835-3114521,123.118152,-31.247808,1.66666662941376E-05,,5.54826140035413E+018,123.118148769228,-31.247806699969,2.07218199243976E-09,
IGR J08262-3736,126.556879508698,-37.6199504918807,1.79686441293193E-09,,OBV,2010A&A...519A..96M,Be,,,,,,,,,,,,,,,,,,,,,,,5124,-228,279,,1.30000007152557,1,,Y,Gaia DR3 5541793213959987968,,,,,,,,,,,,,,,,,,,,,IGR J08262-3736,126.558,-37.62,0.0668333371480306,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J082613.6-373712,126.55697,-37.62017,0.000972222222222222,,4XMM J082613.6-373711,126.556898,-37.619982,6.98527777777778E-05,,,,,,,2MASS J08261365-3737118,126.55689,-37.619972,1.66666662941376E-05,,5.54179321395999E+018,126.556879508698,-37.6199504918807,1.79686441293193E-09,
GS 0834-430,128.981075,-43.1856,1.66666662941376E-05,,B0-2 III-Ve,2000MNRAS.314...87I,Be,NS,,,,13.5,0,1996MNRAS.280L..31P,105.8,0.4,1997ApJ...479..388W,,,,0.14,0.04,1997ApJ...479..388W,12.3203,0.0015,1993A&A...271..487B,,,,,,,,1.66820704936981,,,,2MASS J08355545-4311081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1WGA J0835.9-4311,128.9804,-43.1879,0.00361111111111111,,,,,,,,,,,,,,,,,2SXPS J083555.3-431109,128.98057,-43.1859,0.000972222222222222,,,,,,,,,,,,2MASS J08355545-4311081,128.981075,-43.1856,1.66666662941376E-05,,0,,,,
IGR J08408-4503,130.199187,-45.058395,1.66666662941376E-05,,O8.5Ib-II(f)p,2014ApJS..211...10S,SFXT,,,,,33,,2015A&A...583L...4G,9.5436,0.0002,2015A&A...583L...4G,,,,0.63,0.03,2015A&A...583L...4G,,,,15.3,0.5,2015A&A...583L...4G,,,,Y,13.2791881561279,1,,Y,2MASS J08404780-4503302,,,,,,,,,,,,,,,,,,,,,IGR J08408-4503,130.196,-45.059,0.0543333331743876,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J084047.8-450330,130.19919,-45.0584,0.000472222235467699,,4XMM J084047.8-450330,130.199384,-45.058389,8.81961111111111E-05,,,,,,,2MASS J08404780-4503302,130.199187,-45.058395,1.66666662941376E-05,,0,,,,
Swift J0850.8-4219,132.666983630569,-42.1976055678722,3.01483889213867E-09,,K3-5 I,2023MNRAS.tmpL.159D,RSG,,,,,,,,,,,,,,,,,,,,,,,7452,-712,745,,1.10435891151428,,,,Gaia DR3 5524532148408036096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2SXPS J085039.9-421150,132.66642,-42.19748,0.00102777779102325,,,,,,,,,,,,2MASS J08504008-4211514,132.667015,-42.197617,1.66666662941376E-05,,5.52453214840804E+018,132.666983630569,-42.1976055678722,3.01483889213867E-09,
