,source_id,l,b,distance,pm_l_poleski,pm_b_poleski,Peculiar Velocity,Mass_compact,M_compact_lower,M_compact_upper,Mass_companion,M_companion_lower,M_companion_upper
25,2059383668236814720,71.33,3.07,2.25,-7.37,-0.1,27.64,21.2,19.0,23.4,,,
26,2063791369815322752,77.15,-1.24,2.93,-6.34,-0.55,19.26,,,,3.63,3.32,3.94
27,2065653598916388352,83.57,-2.66,12.9,-3.97,-0.56,52.48,,,,,,
28,2067835682818358400,80.22,1.03,1.76,-2.49,1.73,27.43,,,,,,
29,2070085317968809216,83.98,1.34,24.02,-4.94,-0.61,347.94,,,,,,
30,2083644392294059520,85.23,5.05,2.38,-5.26,-0.51,8.06,,,,,,
31,2162805896614571904,87.13,-0.68,7.64,-4.7,0.46,36.7,,,,,,
32,2178178409188167296,99.01,3.31,9.54,-3.68,0.27,42.12,,,,,,
33,2201091578667140352,107.73,2.36,9.62,-2.54,0.22,19.68,,,,,,
34,2207277877757956352,109.92,2.86,16.75,-2.23,0.01,63.24,,,,,,
35,2935943990338336000,229.31,-3.36,3.17,-2.06,-0.99,10.59,,,,,,
36,3052677318793446016,220.13,-1.77,6.5,-1.41,0.01,13.58,,,,,,
37,3131755947406031104,206.15,-1.04,7.02,-0.55,-0.18,10.19,,,,,,
38,3131822364779745536,205.67,-1.44,1.85,0.37,-0.22,5.47,,,,,,
39,3423526544838563328,188.39,0.81,7.24,0.81,0.2,23.13,,,,,,
40,3431561565357225088,181.28,1.86,1.67,2.21,-0.55,5.54,,,,6.27,6.15,6.41
41,3441207615229815040,181.45,-2.64,1.91,2.13,-2.03,12.76,,,,,,
42,4040960662373474176,353.37,-3.42,65.43,-3.74,2.97,1165.41,,,,,,
43,4054559284753424000,355.46,-0.27,28.3,-10.05,-0.22,894.5,,,,,,
44,4056922105185686784,358.07,0.45,1.94,2.96,2.36,50.5,,,,,,
45,4060784345959549184,1.36,1.05,1.27,-2.41,-0.47,4.74,,,,,,
46,4063908810076415872,3.24,-0.34,2.52,-0.83,0.1,9.44,,,,,,
47,4070770243676311936,7.99,1.33,7.5,-4.48,0.15,66.77,,,,,,
48,4070968778561141760,9.42,1.04,-48.2,-6.45,0.25,-1484.41,1.57,1.32,1.82,,,
49,4097365235226829312,14.08,-0.7,2.47,-4.79,-0.8,39.28,,,,1.87,1.83,1.91
50,4104196427943626624,16.88,-1.29,2.04,-3.73,-10.38,94.91,,,,,,
51,4146789141900648576,14.31,3.25,2.81,1.84,-2.2,47.79,,,,,,
52,4152643113595580416,17.68,0.49,8.94,-8.53,0.83,85.84,,,,,,
53,4155000844481174656,21.47,-0.87,0.93,-0.1,-1.11,12.36,,,,,,
54,4155023796790984064,21.64,-0.79,2.11,-0.09,-0.06,20.05,,,,,,
55,4156747212545110400,24.34,0.07,,,,,,,,,,
56,4253473896214500096,26.66,-0.23,4.3,-3.08,-0.45,3.22,,,,,,
57,4255891924062617088,31.08,-2.09,12.86,-7.17,-0.87,82.9,1.41,1.17,1.65,,,
58,4256500538116700160,26.76,-0.24,-14.31,-5.72,-0.64,-378.75,,,,,,
59,4258160560148155648,28.14,-0.66,6.1,-5.6,-1.36,46.7,,,,,,
60,4258428501693172736,29.75,-0.75,2.72,-4.02,-0.18,18.16,,,,3.41,3.3,3.69
61,4259088994635370752,30.22,0.08,1.48,-2.65,0.43,10.63,,,,0.95,0.91,0.99
62,4268774695647764352,37.18,-1.25,2132.0,-4.67,-0.42,47012.0,,,,,,
63,4278536022438800640,33.04,1.69,11.61,-4.42,-0.12,99.79,,,,,,
64,4293406612283985024,39.69,-2.24,8.46,-5.64,0.45,31.01,4.2,3.8,4.6,,,
65,4306419980916246656,41.9,-0.81,1.92,-9.75,-0.87,56.9,,,,,,
66,4309225217336733824,43.74,0.48,4.3,-3.45,1.28,42.34,,,,3.16,2.93,3.26
67,4309253392325650176,44.3,-0.47,2.77,-5.62,-1.18,22.85,,,,,,
68,4310118570535453696,41.13,2.08,-10.99,-3.81,0.26,-158.04,,,,,,
69,4310649153642824320,42.5,1.17,3.05,-4.64,-1.44,15.97,,,,,,
70,4323316622779495680,53.54,0.12,4.04,-5.16,0.67,20.43,,,,,,
71,4512787627579740032,49.0,2.75,-8.41,-5.53,-0.28,-166.25,,,,,,
72,5255509901121774976,284.35,-1.69,4.4,-6.65,-1.59,28.33,,,,,,
73,5258414192353423360,283.0,-1.82,4.12,-5.89,0.25,13.02,,,,,,
74,5259009543533179648,282.26,-0.67,7.54,-6.29,-0.57,41.74,,,,2.38,2.34,2.42
75,5311384333263075840,273.08,-4.3,18.85,-3.02,0.06,46.73,,,,,,
76,5333660129603575808,293.94,-1.49,1.74,-6.23,-0.49,7.02,,,,,,
77,5334823859608495104,295.61,-0.24,2.1,-6.43,0.1,8.98,,,,,,
78,5334851450481641088,295.49,-0.01,7.89,-6.61,0.83,49.26,,,,,,
79,5335021664274920576,294.88,0.69,16.63,-6.22,-0.41,194.47,,,,4.58,4.51,4.66
80,5336957010898124160,292.5,-0.89,3.04,-5.57,-0.51,13.18,,,,,,
81,5337498593446516480,292.09,0.34,7.21,-3.72,1.16,85.15,1.57,1.41,1.73,,,
82,5337747731560719616,290.2,0.4,3.22,-6.88,-1.01,10.09,6.2,5.5,7.1,,,
83,5339047221168787712,291.89,1.07,8.11,-5.76,0.88,42.47,,,,,,
84,5352018121173519488,285.35,1.43,5.84,-6.98,-0.4,32.74,,,,,,
85,5489434710755238400,266.31,-13.73,0.65,-9.68,-0.05,4.8,,,,,,
86,5522306019626566528,264.04,-1.95,2.26,-9.41,-2.08,40.72,,,,,,
87,5523448274762133632,262.02,-1.51,0.9,-4.95,-0.28,11.55,,,,,,
88,5541793213959987968,256.44,0.29,5.63,-3.96,-0.05,6.7,,,,,,
89,5548261400354128768,249.58,1.54,8.45,-2.59,-0.01,11.06,,,,,,
90,5597252305589385984,246.23,-0.62,3.5,-3.86,-0.74,5.56,,,,,,
91,5613494119551805184,240.28,-4.05,10.44,-1.99,0.09,9.27,,,,,,
92,5620657678322625920,263.06,3.93,2.02,-10.13,2.61,52.43,,1.7,2.1,,,
93,5837600152935767680,302.14,-12.52,0.21,-26.97,-9.99,7.2,,,,,,
94,5854175187680510336,313.02,-1.6,11.91,-7.53,-1.83,141.1,,,,,,
95,5862285700835092352,304.09,-1.12,13.23,-6.31,-0.27,87.09,,,,3.66,3.25,3.87
96,5862299960127967488,304.18,-0.99,2.26,-7.1,0.04,12.99,,,,,,
97,5862928537183584768,302.11,-0.52,8.11,-6.35,-0.42,15.15,,,,,,
98,5863533199843070208,304.1,1.25,1.85,-4.35,-0.03,18.95,,,,,,
99,5864664975280537728,309.16,-0.72,1.65,-5.13,-1.16,7.78,,,,,,
100,5878377736381364608,314.85,-0.76,2.41,-8.23,-0.84,34.04,,,,,,
101,5882543824607819776,324.96,-1.46,-19.84,-4.89,0.5,-443.26,,,,,,
102,5883218164517055488,322.12,0.04,-8.03,-6.87,-0.39,-246.1,,,,,,
103,5884544931471259136,326.98,-1.24,1.37,-4.46,-0.46,5.22,,,,,,
104,5886085557746480000,327.42,2.16,7.81,-7.83,0.83,66.08,1.02,0.85,1.19,5.74,5.53,5.95
105,5933976985766949376,332.78,-2.0,19.95,-4.38,-0.24,18.19,,,,,,
106,5934776158877214848,332.46,-1.05,27.95,-7.71,-0.79,601.66,,,,,,
107,5935509395659726592,333.56,0.34,2.79,-0.51,-0.26,34.32,,,,1.74,1.7,1.78
108,5940285090075838848,334.8,-2.38,0.59,-2.66,-3.21,12.55,,,,,,
109,5940576971716473344,335.06,-1.16,-36.59,-7.73,-0.64,-1343.49,,,,,,
110,5940777877435137024,335.62,-0.45,-28.66,-7.2,-0.72,-982.26,,,,,,
111,5943166184173519744,339.19,0.49,1.05,-9.62,2.96,34.97,,,,,,
112,5943246345430928512,340.05,0.14,3.38,-3.48,-0.63,18.82,,,,4.47,4.43,4.51
113,5966213219190201856,343.8,-0.03,1.56,-0.44,-1.83,18.07,,,,,,
114,5976382915813535232,347.75,2.17,1.58,5.46,1.11,60.92,1.96,1.77,2.15,,,
115,5980409632300781056,355.02,3.35,9.46,-6.38,1.0,131.99,,,,,,
116,6053076566300433920,298.89,-2.3,3.78,-5.96,-0.38,6.14,,,,2.87,2.78,2.92
117,6054569565614460800,300.1,-0.04,3.99,-5.03,-2.52,46.23,,,,,,
118,6054778507172454912,300.87,1.08,71.51,-5.17,0.7,1424.98,,,,,,
119,6055103928246312960,301.96,-0.2,0.44,-12.77,-3.98,1.78,,,,,,
120,6060547335455660032,303.36,5.7,0.12,-28.61,-9.82,3.28,,,,4.28,4.24,4.32
